year,category,name,link
1934,chemistry,Harold Urey,/wiki/Harold_Urey
1934,medicine,George Whipple,/wiki/George_Whipple
1934,medicine,George Minot,/wiki/George_Minot
1934,medicine,William P. Murphy,/wiki/William_P._Murphy
1934,literature,Luigi Pirandello,/wiki/Luigi_Pirandello
1934,peace,Arthur Henderson,/wiki/Arthur_Henderson
1935,physics,James Chadwick,/wiki/James_Chadwick
1935,chemistry,Frédéric Joliot-Curie,/wiki/Fr%C3%A9d%C3%A9ric_Joliot-Curie
1935,chemistry,Irène Joliot-Curie,/wiki/Ir%C3%A8ne_Joliot-Curie
1935,medicine,Hans Spemann,/wiki/Hans_Spemann
1935,peace,Carl von Ossietzky,/wiki/Carl_von_Ossietzky
1936,physics,Victor Francis Hess,/wiki/Victor_Francis_Hess
1936,physics,Carl David Anderson,/wiki/Carl_David_Anderson
1936,chemistry,Peter Debye,/wiki/Peter_Debye
1936,medicine,Henry Hallett Dale,/wiki/Henry_Hallett_Dale
1936,medicine,Otto Loewi,/wiki/Otto_Loewi
1936,literature,Eugene O'Neill,/wiki/Eugene_O%27Neill
1936,peace,Carlos Saavedra Lamas,/wiki/Carlos_Saavedra_Lamas
1937,physics,Clinton Davisson,/wiki/Clinton_Davisson
1937,physics,George Paget Thomson,/wiki/George_Paget_Thomson
1937,chemistry,Norman Haworth,/wiki/Norman_Haworth
1937,chemistry,Paul Karrer,/wiki/Paul_Karrer
1937,medicine,Albert Szent-Györgyi,/wiki/Albert_Szent-Gy%C3%B6rgyi
1937,literature,Roger Martin du Gard,/wiki/Roger_Martin_du_Gard
1937,peace,The Viscount Cecil of Chelwood,"/wiki/Robert_Cecil,_1st_Viscount_Cecil_of_Chelwood"
1938,physics,Enrico Fermi,/wiki/Enrico_Fermi
1938,chemistry,Richard Kuhn,/wiki/Richard_Kuhn
1938,chemistry,[a],#cite_note-A-14
1938,medicine,Corneille Heymans,/wiki/Corneille_Heymans
1938,literature,Pearl S. Buck,/wiki/Pearl_S._Buck
1938,peace,Nansen International Office For Refugees,/wiki/Office_international_Nansen_pour_les_r%C3%A9fugi%C3%A9s
1939,physics,Ernest Lawrence,/wiki/Ernest_Lawrence
1939,chemistry,Adolf Butenandt,/wiki/Adolf_Butenandt
1939,chemistry,[a],#cite_note-A-14
1939,chemistry,Leopold Ružička,/wiki/Leopold_Ru%C5%BEi%C4%8Dka
1939,medicine,Gerhard Domagk,/wiki/Gerhard_Domagk
1939,medicine,[a],#cite_note-A-14
1939,literature,Frans Eemil Sillanpää,/wiki/Frans_Eemil_Sillanp%C3%A4%C3%A4
1943,physics,Otto Stern,/wiki/Otto_Stern
1943,chemistry,George de Hevesy,/wiki/George_de_Hevesy
1943,medicine,Henrik Dam,/wiki/Henrik_Dam
1943,medicine,Edward Adelbert Doisy,/wiki/Edward_Adelbert_Doisy
1944,physics,Isidor Isaac Rabi,/wiki/Isidor_Isaac_Rabi
1944,chemistry,Otto Hahn,/wiki/Otto_Hahn
1944,medicine,Joseph Erlanger,/wiki/Joseph_Erlanger
1944,medicine,Herbert Spencer Gasser,/wiki/Herbert_Spencer_Gasser
1944,literature,Johannes Vilhelm Jensen,/wiki/Johannes_Vilhelm_Jensen
1944,peace,International Committee of the Red Cross,/wiki/International_Committee_of_the_Red_Cross
1945,physics,Wolfgang Pauli,/wiki/Wolfgang_Pauli
1945,chemistry,Artturi Ilmari Virtanen,/wiki/Artturi_Ilmari_Virtanen
1945,medicine,Alexander Fleming,/wiki/Alexander_Fleming
1945,medicine,Ernst Boris Chain,/wiki/Ernst_Boris_Chain
1945,medicine,Howard Florey,/wiki/Howard_Florey
1945,literature,Gabriela Mistral,/wiki/Gabriela_Mistral
1945,peace,Cordell Hull,/wiki/Cordell_Hull
1946,physics,Percy Williams Bridgman,/wiki/Percy_Williams_Bridgman
1946,chemistry,James B. Sumner,/wiki/James_B._Sumner
1946,chemistry,John Howard Northrop,/wiki/John_Howard_Northrop
1946,chemistry,Wendell Meredith Stanley,/wiki/Wendell_Meredith_Stanley
1946,medicine,Hermann Joseph Muller,/wiki/Hermann_Joseph_Muller
1946,literature,Hermann Hesse,/wiki/Hermann_Hesse
1946,peace,Emily Greene Balch,/wiki/Emily_Greene_Balch
1946,peace,John Mott,/wiki/John_Mott
1947,physics,Edward Victor Appleton,/wiki/Edward_Victor_Appleton
1947,chemistry,Robert Robinson,/wiki/Robert_Robinson_(organic_chemist)
1947,medicine,Carl Ferdinand Cori,/wiki/Carl_Ferdinand_Cori
1947,medicine,Gerty Cori,/wiki/Gerty_Cori
1947,medicine,Bernardo Houssay,/wiki/Bernardo_Houssay
1947,literature,André Gide,/wiki/Andr%C3%A9_Gide
1947,peace,Friends Service Council,/wiki/Quaker_Peace_and_Social_Witness
1947,peace,American Friends Service Committee,/wiki/American_Friends_Service_Committee
1948,physics,Patrick Blackett,"/wiki/Patrick_Blackett,_Baron_Blackett"
1948,chemistry,Arne Tiselius,/wiki/Arne_Tiselius
1948,medicine,Paul Hermann Müller,/wiki/Paul_Hermann_M%C3%BCller
1948,literature,T. S. Eliot,/wiki/T._S._Eliot
1948,peace,[b],#cite_note-B-16
1949,physics,Hideki Yukawa,/wiki/Hideki_Yukawa
1949,chemistry,William Giauque,/wiki/William_Giauque
1949,medicine,Walter Rudolf Hess,/wiki/Walter_Rudolf_Hess
1949,medicine,António Egas Moniz,/wiki/Ant%C3%B3nio_Egas_Moniz
1949,literature,William Faulkner,/wiki/William_Faulkner
1949,peace,John Boyd Orr,"/wiki/John_Boyd_Orr,_1st_Baron_Boyd-Orr"
1950,physics,C. F. Powell,/wiki/C._F._Powell
1950,chemistry,Otto Diels,/wiki/Otto_Diels
1950,chemistry,Kurt Alder,/wiki/Kurt_Alder
1950,medicine,Philip Showalter Hench,/wiki/Philip_Showalter_Hench
1950,medicine,Edward Calvin Kendall,/wiki/Edward_Calvin_Kendall
1950,medicine,Tadeus Reichstein,/wiki/Tadeus_Reichstein
1950,literature,Bertrand Russell,/wiki/Bertrand_Russell
1950,peace,Ralph Bunche,/wiki/Ralph_Bunche
1951,physics,John Cockcroft,/wiki/John_Cockcroft
1951,physics,Ernest Walton,/wiki/Ernest_Walton
1951,chemistry,Edwin McMillan,/wiki/Edwin_McMillan
1951,chemistry,Glenn T. Seaborg,/wiki/Glenn_T._Seaborg
1951,medicine,Max Theiler,/wiki/Max_Theiler
1951,literature,Pär Lagerkvist,/wiki/P%C3%A4r_Lagerkvist
1951,peace,Léon Jouhaux,/wiki/L%C3%A9on_Jouhaux
1952,physics,Felix Bloch,/wiki/Felix_Bloch
1952,physics,Edward Mills Purcell,/wiki/Edward_Mills_Purcell
1952,chemistry,Archer John Porter Martin,/wiki/Archer_John_Porter_Martin
1952,chemistry,Richard Laurence Millington Synge,/wiki/Richard_Laurence_Millington_Synge
1952,medicine,Selman Waksman,/wiki/Selman_Waksman
1952,literature,François Mauriac,/wiki/Fran%C3%A7ois_Mauriac
1952,peace,Albert Schweitzer,/wiki/Albert_Schweitzer
1953,physics,Frits Zernike,/wiki/Frits_Zernike
1953,chemistry,Hermann Staudinger,/wiki/Hermann_Staudinger
1953,medicine,Hans Adolf Krebs,/wiki/Hans_Adolf_Krebs
1953,medicine,Fritz Albert Lipmann,/wiki/Fritz_Albert_Lipmann
1953,literature,Winston Churchill,/wiki/Winston_Churchill
1953,peace,George Marshall,/wiki/George_Marshall
1954,physics,Max Born,/wiki/Max_Born
1954,physics,Walther Bothe,/wiki/Walther_Bothe
1954,chemistry,Linus Pauling,/wiki/Linus_Pauling
1954,medicine,John Franklin Enders,/wiki/John_Franklin_Enders
1954,medicine,Frederick Chapman Robbins,/wiki/Frederick_Chapman_Robbins
1954,medicine,Thomas Huckle Weller,/wiki/Thomas_Huckle_Weller
1954,literature,Ernest Hemingway,/wiki/Ernest_Hemingway
1954,peace,United Nations High Commissioner for Refugees,/wiki/United_Nations_High_Commissioner_for_Refugees
1955,physics,Willis Lamb,/wiki/Willis_Lamb
1955,physics,Polykarp Kusch,/wiki/Polykarp_Kusch
1955,chemistry,Vincent du Vigneaud,/wiki/Vincent_du_Vigneaud
1955,medicine,Hugo Theorell,/wiki/Hugo_Theorell
1955,literature,Halldór Laxness,/wiki/Halld%C3%B3r_Laxness
1956,physics,John Bardeen,/wiki/John_Bardeen
1956,physics,Walter Houser Brattain,/wiki/Walter_Houser_Brattain
1956,physics,William Shockley,/wiki/William_Shockley
1956,chemistry,Cyril Norman Hinshelwood,/wiki/Cyril_Norman_Hinshelwood
1956,chemistry,Nikolay Semyonov,/wiki/Nikolay_Semyonov
1956,medicine,André Frédéric Cournand,/wiki/Andr%C3%A9_Fr%C3%A9d%C3%A9ric_Cournand
1956,medicine,Werner Forssmann,/wiki/Werner_Forssmann
1956,medicine,Dickinson W. Richards,/wiki/Dickinson_W._Richards
1956,literature,Juan Ramón Jiménez,/wiki/Juan_Ram%C3%B3n_Jim%C3%A9nez
1957,physics,Chen Ning Yang,/wiki/Chen_Ning_Yang
1957,physics,Tsung-Dao Lee,/wiki/Tsung-Dao_Lee
1957,chemistry,The Lord Todd,"/wiki/Alexander_R._Todd,_Baron_Todd"
1957,medicine,Daniel Bovet,/wiki/Daniel_Bovet
1957,literature,Albert Camus,/wiki/Albert_Camus
1957,peace,Lester B. Pearson,/wiki/Lester_B._Pearson
1958,physics,Pavel Cherenkov,/wiki/Pavel_Cherenkov
1958,physics,Ilya Frank,/wiki/Ilya_Frank
1958,physics,Igor Tamm,/wiki/Igor_Tamm
1958,chemistry,Frederick Sanger,/wiki/Frederick_Sanger
1958,medicine,George Wells Beadle,/wiki/George_Wells_Beadle
1958,medicine,Edward Lawrie Tatum,/wiki/Edward_Lawrie_Tatum
1958,medicine,Joshua Lederberg,/wiki/Joshua_Lederberg
1958,literature,Boris Pasternak,/wiki/Boris_Pasternak
1958,literature,[c],#cite_note-C-17
1958,peace,Dominique Pire,/wiki/Dominique_Pire
1959,physics,Emilio G. Segrè,/wiki/Emilio_G._Segr%C3%A8
1959,physics,Owen Chamberlain,/wiki/Owen_Chamberlain
1959,chemistry,Jaroslav Heyrovský,/wiki/Jaroslav_Heyrovsk%C3%BD
1959,medicine,Arthur Kornberg,/wiki/Arthur_Kornberg
1959,medicine,Severo Ochoa,/wiki/Severo_Ochoa
1959,literature,Salvatore Quasimodo,/wiki/Salvatore_Quasimodo
1959,peace,Philip Noel-Baker,"/wiki/Philip_Noel-Baker,_Baron_Noel-Baker"
1960,physics,Donald A. Glaser,/wiki/Donald_A._Glaser
1960,chemistry,Willard Libby,/wiki/Willard_Libby
1960,medicine,Frank Macfarlane Burnet,/wiki/Frank_Macfarlane_Burnet
1960,medicine,Peter Medawar,/wiki/Peter_Medawar
1960,literature,Saint-John Perse,/wiki/Saint-John_Perse
1960,peace,Albert Lutuli,/wiki/Albert_Lutuli
1961,physics,Robert Hofstadter,/wiki/Robert_Hofstadter
1961,physics,Rudolf Mössbauer,/wiki/Rudolf_M%C3%B6ssbauer
1961,chemistry,Melvin Calvin,/wiki/Melvin_Calvin
1961,medicine,Georg von Békésy,/wiki/Georg_von_B%C3%A9k%C3%A9sy
1961,literature,Ivo Andrić,/wiki/Ivo_Andri%C4%87
1961,peace,Dag Hammarskjöld,/wiki/Dag_Hammarskj%C3%B6ld
1962,physics,Lev Landau,/wiki/Lev_Landau
1962,chemistry,Max Perutz,/wiki/Max_Perutz
1962,chemistry,John Kendrew,/wiki/John_Kendrew
1962,medicine,Francis Crick,/wiki/Francis_Crick
1962,medicine,James D. Watson,/wiki/James_D._Watson
1962,medicine,Maurice Wilkins,/wiki/Maurice_Wilkins
1962,literature,John Steinbeck,/wiki/John_Steinbeck
1962,peace,Linus Pauling,/wiki/Linus_Pauling
1963,physics,Eugene Wigner,/wiki/Eugene_Wigner
1963,physics,Maria Goeppert-Mayer,/wiki/Maria_Goeppert-Mayer
1963,physics,J. Hans D. Jensen,/wiki/J._Hans_D._Jensen
1963,chemistry,Karl Ziegler,/wiki/Karl_Ziegler
1963,chemistry,Giulio Natta,/wiki/Giulio_Natta
1963,medicine,John Eccles,/wiki/John_Eccles_(neurophysiologist)
1963,medicine,Alan Lloyd Hodgkin,/wiki/Alan_Lloyd_Hodgkin
1963,medicine,Andrew Huxley,/wiki/Andrew_Huxley
1963,literature,Giorgos Seferis,/wiki/Giorgos_Seferis
1963,peace,International Committee of the Red Cross,/wiki/International_Committee_of_the_Red_Cross
1963,peace,League of Red Cross societies,/wiki/International_Federation_of_Red_Cross_and_Red_Crescent_Societies
1964,physics,Charles Hard Townes,/wiki/Charles_Hard_Townes
1964,physics,Nikolay Basov,/wiki/Nikolay_Basov
1964,physics,Alexander Prokhorov,/wiki/Alexander_Prokhorov
1964,chemistry,Dorothy Hodgkin,/wiki/Dorothy_Hodgkin
1964,medicine,Konrad Emil Bloch,/wiki/Konrad_Emil_Bloch
1964,medicine,Feodor Felix Konrad Lynen,/wiki/Feodor_Felix_Konrad_Lynen
1964,literature,Jean-Paul Sartre,/wiki/Jean-Paul_Sartre
1964,literature,[d],#cite_note-D-18
1964,peace,"Martin Luther King, Jr.","/wiki/Martin_Luther_King,_Jr."
1965,physics,Sin-Itiro Tomonaga,/wiki/Sin-Itiro_Tomonaga
1965,physics,Julian Schwinger,/wiki/Julian_Schwinger
1965,physics,Richard Feynman,/wiki/Richard_Feynman
1965,chemistry,Robert Burns Woodward,/wiki/Robert_Burns_Woodward
1965,medicine,François Jacob,/wiki/Fran%C3%A7ois_Jacob
1965,medicine,André Michel Lwoff,/wiki/Andr%C3%A9_Michel_Lwoff
1965,medicine,Jacques Monod,/wiki/Jacques_Monod
1965,literature,Mikhail Sholokhov,/wiki/Mikhail_Sholokhov
1965,peace,United Nations International Children's Emergency Fund (UNICEF),/wiki/UNICEF
1966,physics,Alfred Kastler,/wiki/Alfred_Kastler
1966,chemistry,Robert S. Mulliken,/wiki/Robert_S._Mulliken
1966,medicine,Francis Peyton Rous,/wiki/Francis_Peyton_Rous
1966,medicine,Charles Brenton Huggins,/wiki/Charles_Brenton_Huggins
1966,literature,Shmuel Yosef Agnon,/wiki/Shmuel_Yosef_Agnon
1966,literature,Nelly Sachs,/wiki/Nelly_Sachs
1967,physics,Hans Bethe,/wiki/Hans_Bethe
1967,chemistry,Manfred Eigen,/wiki/Manfred_Eigen
1967,chemistry,Ronald George Wreyford Norrish,/wiki/Ronald_George_Wreyford_Norrish
1967,chemistry,George Porter,/wiki/George_Porter
1967,medicine,Ragnar Granit,/wiki/Ragnar_Granit
1967,medicine,Haldan Keffer Hartline,/wiki/Haldan_Keffer_Hartline
1967,medicine,George Wald,/wiki/George_Wald
1967,literature,Miguel Ángel Asturias,/wiki/Miguel_%C3%81ngel_Asturias
1968,physics,Luis Walter Alvarez,/wiki/Luis_Walter_Alvarez
1968,chemistry,Lars Onsager,/wiki/Lars_Onsager
1968,medicine,Robert W. Holley,/wiki/Robert_W._Holley
1968,medicine,Har Gobind Khorana,/wiki/Har_Gobind_Khorana
1968,medicine,Marshall Warren Nirenberg,/wiki/Marshall_Warren_Nirenberg
1968,literature,Yasunari Kawabata,/wiki/Yasunari_Kawabata
1968,peace,René Cassin,/wiki/Ren%C3%A9_Cassin
1969,physics,Murray Gell-Mann,/wiki/Murray_Gell-Mann
1969,chemistry,Derek Barton,/wiki/Derek_Barton
1969,chemistry,Odd Hassel,/wiki/Odd_Hassel
1969,medicine,Max Delbrück,/wiki/Max_Delbr%C3%BCck
1969,medicine,Alfred Hershey,/wiki/Alfred_Hershey
1969,medicine,Salvador Luria,/wiki/Salvador_Luria
1969,literature,Samuel Beckett,/wiki/Samuel_Beckett
1969,peace,International Labour Organization,/wiki/International_Labour_Organization
1969,economics,Ragnar Frisch,/wiki/Ragnar_Frisch
1969,economics,Jan Tinbergen,/wiki/Jan_Tinbergen
1970,physics,Hannes Alfvén,/wiki/Hannes_Alfv%C3%A9n
